Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
People,Sex and Age,Total population,734172,(+/- 4597 ),672244,(+/- 6510 ),729810,(+/- 9806 ),752273,(+/- 15861 ),747809,(+/- 14620 ),756004,(+/- 13076 ),789864,(+/- 16970 ),710108,(+/- 4898 ),736075,(+/- 6883 ),741464,(+/- 13916 ),764184,(+/- 12736 ),719970,(+/- 5454 ),746218,(+/- 16596 ),710176,(+/- 3491 )
People,Sex and Age,Male,360879,(+/- 3931 ),327543,(+/- 4268 ),350719,(+/- 5618 ),352904,(+/- 9527 ),363984,(+/- 10209 ),371328,(+/- 7390 ),388599,(+/- 8639 ),346912,(+/- 3619 ),364117,(+/- 4179 ),361890,(+/- 7085 ),375985,(+/- 7335 ),355946,(+/- 3897 ),347163,(+/- 11360 ),350181,(+/- 3317 )
People,Sex and Age,Female,373293,(+/- 3340 ),344701,(+/- 4140 ),379091,(+/- 7191 ),399369,(+/- 9015 ),383825,(+/- 9381 ),384676,(+/- 9606 ),401265,(+/- 10167 ),363196,(+/- 4374 ),371958,(+/- 4855 ),379574,(+/- 8913 ),388199,(+/- 8180 ),364024,(+/- 4164 ),399055,(+/- 10035 ),359995,(+/- 3185 )
People,Sex and Age,Under 5 years,50376,(+/- 1603 ),43012,(+/- 2188 ),43022,(+/- 2174 ),55003,(+/- 4100 ),47382,(+/- 4626 ),46541,(+/- 3300 ),49476,(+/- 3367 ),43898,(+/- 1811 ),41758,(+/- 2169 ),43873,(+/- 3205 ),47368,(+/- 2576 ),46160,(+/- 1638 ),54105,(+/- 4343 ),42904,(+/- 1596 )
People,Sex and Age,5 to 9 years,49377,(+/- 2984 ),45618,(+/- 3300 ),45274,(+/- 3960 ),54315,(+/- 4455 ),45259,(+/- 4346 ),47859,(+/- 4921 ),58839,(+/- 4314 ),47027,(+/- 3230 ),46136,(+/- 2810 ),49914,(+/- 3971 ),55066,(+/- 3963 ),49889,(+/- 3039 ),58668,(+/- 4600 ),46723,(+/- 2928 )
People,Sex and Age,10 to 14 years,47679,(+/- 2923 ),48147,(+/- 3444 ),53404,(+/- 3703 ),53650,(+/- 5041 ),39303,(+/- 3768 ),53934,(+/- 3798 ),69543,(+/- 4350 ),51228,(+/- 3671 ),49679,(+/- 3229 ),47792,(+/- 3789 ),53051,(+/- 4167 ),46117,(+/- 2790 ),55377,(+/- 6067 ),54564,(+/- 3346 )
People,Sex and Age,15 to 19 years,50674,(+/- 2765 ),48338,(+/- 2446 ),54886,(+/- 2836 ),50457,(+/- 3266 ),48863,(+/- 4733 ),48454,(+/- 3562 ),55602,(+/- 3339 ),49379,(+/- 3265 ),53286,(+/- 3336 ),66783,(+/- 4643 ),51014,(+/- 2824 ),53685,(+/- 3190 ),51929,(+/- 4113 ),52225,(+/- 2404 )
People,Sex and Age,20 to 24 years,53457,(+/- 2815 ),47634,(+/- 2561 ),46573,(+/- 3367 ),47352,(+/- 4108 ),63834,(+/- 5126 ),39924,(+/- 4254 ),50591,(+/- 3390 ),51108,(+/- 3465 ),48141,(+/- 3464 ),65345,(+/- 4660 ),51584,(+/- 3371 ),54006,(+/- 2961 ),48581,(+/- 4858 ),42961,(+/- 2680 )
People,Sex and Age,25 to 34 years,108256,(+/- 3137 ),93219,(+/- 4212 ),90180,(+/- 3943 ),111685,(+/- 5903 ),144107,(+/- 5145 ),100491,(+/- 5465 ),93277,(+/- 4515 ),94523,(+/- 3983 ),81097,(+/- 2697 ),85611,(+/- 4734 ),109566,(+/- 3940 ),103352,(+/- 3327 ),101650,(+/- 5765 ),86728,(+/- 3032 )
People,Sex and Age,35 to 44 years,90748,(+/- 2710 ),81564,(+/- 3746 ),95910,(+/- 4316 ),99655,(+/- 5330 ),104367,(+/- 6085 ),111638,(+/- 4874 ),126410,(+/- 4453 ),92244,(+/- 3190 ),87463,(+/- 2617 ),93020,(+/- 3910 ),107759,(+/- 4127 ),91130,(+/- 3702 ),107681,(+/- 6103 ),95858,(+/- 2926 )
People,Sex and Age,45 to 54 years,92007,(+/- 2750 ),79137,(+/- 3143 ),102917,(+/- 3964 ),106022,(+/- 4996 ),95642,(+/- 5384 ),120372,(+/- 5275 ),120824,(+/- 4283 ),86315,(+/- 2625 ),102277,(+/- 2864 ),98112,(+/- 4567 ),112657,(+/- 4777 ),88104,(+/- 2484 ),101251,(+/- 5224 ),98225,(+/- 2451 )
People,Sex and Age,55 to 59 years,48474,(+/- 2889 ),45663,(+/- 2602 ),49749,(+/- 2953 ),48447,(+/- 3842 ),40610,(+/- 3156 ),54461,(+/- 3576 ),48458,(+/- 3059 ),45279,(+/- 2582 ),46193,(+/- 2659 ),45832,(+/- 3318 ),47217,(+/- 3433 ),44486,(+/- 2821 ),46933,(+/- 3656 ),45555,(+/- 2894 )
People,Sex and Age,60 to 64 years,38025,(+/- 2562 ),41402,(+/- 2443 ),41554,(+/- 2743 ),44352,(+/- 3278 ),34508,(+/- 3027 ),42048,(+/- 3302 ),38744,(+/- 3276 ),43954,(+/- 2822 ),48961,(+/- 2770 ),41127,(+/- 3179 ),40170,(+/- 2868 ),43572,(+/- 2615 ),38767,(+/- 3466 ),38669,(+/- 2721 )
People,Sex and Age,65 to 74 years,65641,(+/- 1795 ),58793,(+/- 1900 ),66226,(+/- 2310 ),53296,(+/- 2957 ),53081,(+/- 3239 ),58430,(+/- 3175 ),48288,(+/- 2462 ),63051,(+/- 1640 ),82137,(+/- 2232 ),67091,(+/- 3045 ),55965,(+/- 2385 ),59554,(+/- 1783 ),51285,(+/- 3375 ),65813,(+/- 1727 )
People,Sex and Age,75 to 84 years,28294,(+/- 1939 ),27625,(+/- 1546 ),30320,(+/- 2243 ),19834,(+/- 2017 ),22972,(+/- 2232 ),22732,(+/- 1988 ),21905,(+/- 1722 ),31367,(+/- 1966 ),38546,(+/- 2004 ),28564,(+/- 2256 ),23805,(+/- 2024 ),29271,(+/- 1598 ),22024,(+/- 2092 ),31313,(+/- 1668 )
People,Sex and Age,85 years and over,11164,(+/- 1513 ),12092,(+/- 1290 ),9795,(+/- 1183 ),8205,(+/- 1241 ),7881,(+/- 1187 ),9120,(+/- 1584 ),7907,(+/- 1360 ),10735,(+/- 1445 ),10401,(+/- 1616 ),8400,(+/- 1591 ),8962,(+/- 1526 ),10644,(+/- 1393 ),7967,(+/- 1580 ),8638,(+/- 1331 )
People,Sex and Age,Median age (years),35.8,(+/- 0.4 ),36.1,(+/- 0.5 ),38.3,(+/- 0.5 ),35.3,(+/- 0.5 ),33.8,(+/- 0.7 ),38.4,(+/- 0.6 ),36.5,(+/- 0.4 ),36.7,(+/- 0.5 ),40.8,(+/- 0.5 ),36.3,(+/- 0.6 ),36.3,(+/- 0.5 ),35.7,(+/- 0.4 ),35.2,(+/- 0.8 ),38.1,(+/- 0.4 )
People,Sex and Age,18 years and over,559343,(+/- 3347 ),508628,(+/- 5164 ),556218,(+/- 6729 ),556840,(+/- 10634 ),594028,(+/- 10729 ),575004,(+/- 9941 ),575002,(+/- 10882 ),538869,(+/- 4194 ),566688,(+/- 5159 ),566185,(+/- 9306 ),577371,(+/- 8592 ),549482,(+/- 3945 ),542108,(+/- 11651 ),533995,(+/- 2585 )
People,Sex and Age,65 years and over,105099,(+/- 1914 ),98510,(+/- 2176 ),106341,(+/- 2784 ),81335,(+/- 3445 ),83934,(+/- 4145 ),90282,(+/- 3945 ),78100,(+/- 2873 ),105153,(+/- 1916 ),131084,(+/- 2425 ),104055,(+/- 3428 ),88732,(+/- 2861 ),99469,(+/- 1755 ),81276,(+/- 4057 ),105764,(+/- 1892 )
People,Race,Total population,734172,(+/- 4597 ),672244,(+/- 6510 ),729810,(+/- 9806 ),752273,(+/- 15861 ),747809,(+/- 14620 ),756004,(+/- 13076 ),789864,(+/- 16970 ),710108,(+/- 4898 ),736075,(+/- 6883 ),741464,(+/- 13916 ),764184,(+/- 12736 ),719970,(+/- 5454 ),746218,(+/- 16596 ),710176,(+/- 3491 )
